Antecedents,Consequent,Support
['(case) requestcomplete_False'],Label_1,0.81661
"['(case) requestcomplete_False', 'Duration_4_M']",Label_1,0.79471
"['(case) requestcomplete_False', 'Cumduration_5_M']",Label_1,0.74393
"['(case) requestcomplete_False', 'Duration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Activity1_register submission date request']",Label_1,0.80969
"['(case) requestcomplete_False', 'Duration_3_M']",Label_1,0.81074
"['(case) requestcomplete_False', 'Cumduration_3_M']",Label_1,0.74341
"['(case) requestcomplete_False', 'Cumduration_4_M']",Label_1,0.75824
"['(case) requestcomplete_False', 'Cumduration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_5_M']",Label_1,0.7419
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.74134
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.75314
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_5_M']",Label_1,0.70958
"['(case) requestcomplete_False', 'Duration_3_M', 'Duration_4_M']",Label_1,0.78884
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M']",Label_1,0.74341
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M']",Label_1,0.75696
"['(case) requestcomplete_False', 'Duration_2_M', 'Duration_3_M']",Label_1,0.73107
"['(case) requestcomplete_False', 'Cumduration_5_M', 'Duration_3_M']",Label_1,0.74067
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_4_M']",Label_1,0.78779
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_3_M']",Label_1,0.73236
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_4_M']",Label_1,0.72169
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_4_M']",Label_1,0.71845
"['(case) requestcomplete_False', 'Cumduration_5_M', 'Duration_2_M']",Label_1,0.70958
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Cumduration_4_M']",Label_1,0.72755
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_3_M']",Label_1,0.73107
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_4_M']",Label_1,0.72506
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_4_M']",Label_1,0.7547
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Duration_2_M']",Label_1,0.72169
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Cumduration_5_M']",Label_1,0.7176
"['(case) requestcomplete_False', 'Cumduration_3_M', 'Duration_2_M']",Label_1,0.73236
"['(case) requestcomplete_False', 'Cumduration_4_M', 'Cumduration_5_M']",Label_1,0.73895
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Duration_3_M']",Label_1,0.80388
"['(case) requestcomplete_False', 'Duration_2_M', 'Duration_4_M']",Label_1,0.71845
"['(case) requestcomplete_False', 'Cumduration_5_M', 'Duration_4_M']",Label_1,0.74277
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Duration_2_M']",Label_1,0.7354
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_2_M', 'Cumduration_5_M']",Label_1,0.70958
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Duration_3_M', 'Duration_4_M']",Label_1,0.71413
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_3_M', 'Duration_3_M']",Label_1,0.74134
"['(case) requestcomplete_False', 'Activity1_register submission date request', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.75186
"['(case) requestcomplete_False', 'Cumduration_2_M', 'Cumduration_4_M', 'Duration_3_M']",Label_1,0.71736
