Case ID,Label,Duration_2_M,Duration_2_S,Duration_2_L,Duration_2_LL,Cumduration_5_S,Cumduration_5_M,Cumduration_5_L,Cumduration_5_LL,Duration_3_M,Duration_3_L,Duration_3_LL,Cumduration_3_M,Cumduration_3_S,Cumduration_3_L,Cumduration_3_LL,Duration_5_M,Duration_5_S,Duration_5_L,Duration_5_LL,Duration_4_S,Duration_4_M,Duration_4_L,Duration_4_LL,Cumduration_2_M,Cumduration_2_S,Cumduration_2_L,Cumduration_2_LL,Cumduration_4_S,Cumduration_4_M,Cumduration_4_L,Cumduration_4_LL
A,0,1.0,0.0,0.0,0.0,0.17535999999999996,0.82464,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9884200000000001,0.011579999999999924,0.0,0.0,1.0,0.0,0.0,0.0,0.28317999999999977,0.7168200000000002,0.0,0.0
AA,1,0.81195,0.18805000000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.73725,0.26275000000000004,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,0.81195,0.18805000000000005,0.0,0.0,0.0,1.0,0.0,0.0
AAA,0,0.9077100000000002,0.09228999999999976,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.8021400000000001,0.19785999999999992,0.0,0.0,0.0,0.0,1.0,0.0,0.9310899999999998,0.06891000000000025,0.0,0.0,0.9077100000000002,0.09228999999999976,0.0,0.0,0.53986,0.46014,0.0,0.0
AB,1,0.8565900000000002,0.14340999999999982,0.0,0.0,0.4927900000000003,0.5072099999999997,0.0,0.0,1.0,0.0,0.0,0.76722,0.23278,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.3039700000000001,0.6960299999999999,0.0,0.0,0.8565900000000002,0.14340999999999982,0.0,0.0,0.41278000000000015,0.5872199999999999,0.0,0.0
ABA,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9251499999999999,0.07485000000000008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ACA,1,1.0,0.0,0.0,0.0,0.2636499999999997,0.7363500000000003,0.0,0.0,1.0,0.0,0.0,0.8762100000000004,0.12378999999999962,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.16357,0.83643,0.0,0.0
AD,0,1.0,0.0,0.0,0.0,0.07140999999999975,0.9285900000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ADA,0,1.0,0.0,0.0,0.0,0.2716599999999998,0.7283400000000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.7314699999999998,0.26853000000000016,0.0,0.0,1.0,0.0,0.0,0.0,0.17220999999999975,0.8277900000000002,0.0,0.0
AE,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.90924,0.09075999999999995,0.0,0.0,0.9990600000000001,0.0009399999999999409,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
